Type,Gear Name,Chill,Flow,Rush,Beat,Vibe,PPoint,CMult,FMult,Time,Fill,PTime
Hat,The Games: Hidden Shine,,,,,3,,7,7,7,,
Hat,ARForest's Plague Hat,,10,,,8,,,,,3,
Hat,Birthday Alien's Hat,,6,,14,,,,,6,,
Hat,Boyfriend's Cap,,4,,6,,,,4,,,
Hat,Cametek Fedora,,,6,12,,,,,2,4,
Hat,Captain's Hat,,10,7,,,,5,3,,,
Hat,Gamer's Expensive Fedora,3,,,8,,,4,5,,,
Hat,Garcello's Hat,,8,,,10,,,,4,,
Hat,Girlfriend's Hair,6,4,,,,,,,4,,
Hat,Goldn's Braids,8,10,,,,,,,3,3,
Hat,Goonie's Disco Hair,,5,,,3,,,,,,2
Hat,Halloween Witch's Hat,8,10,,,,,,,3,3,
Hat,Just Dance Coach's Hair,,12,,,4,,,3,,,
Hat,Just Dance Coach's Hood,10,,8,,,,3,,,,
Hat,Just Dance Coach's Wolf Mask,10,,,,7,,,5,,,
Hat,Kagan's Cowboy Hat,6,,3,,,,3,,,,
Hat,Kepo's Beanie,11,,8,,,,5,,,,
Hat,Kobaryo's Hair,,8,9,,,,,,4,,
Hat,Koneko's Cat Hood,9,,,,5,4,,,,,1
Hat,Kurante's DiVE Headphones,,,,7,7,1,4,,,,
Hat,Landino's Fro,11,,,,8,2,,,,,
Hat,Legendary Beat Cyborg's Helmet,,7,,18,,,,,5,7,
Hat,Legendary Chill Samurai's Helm,19,10,,,,10,,,,,
Hat,Legendary Flow Commander's Helmet,7,17,,,,,,12,,,
Hat,Legendary Marshall's Hat,12,,12,,,,,6,5,,
Hat,Legendary Musketeer's Hat,,13,,,13,,6,,2,,
Hat,Legendary Rebel's Hat,12,,,13,,9,,,,,1
Hat,Legendary Rush Chieftan's Hat,,,16,,9,4,6,,,,
Hat,Legendary Vibe Ringleader's Cap,,,,11,17,,9,,,,
Hat,Lisa's Beret,12,,4,,,,4,,3,,
Hat,Mighty's Pro Bunny Visor,4,,,,14,,,,,,
Hat,Onii's Otaku Beanie,,4,6,,,,3,,,,
Hat,Poppy's Flux Hair,,10,8,,,5,,,,,2
Hat,Random's Hip Beanie,2,,,,5,,,3,,,
Hat,Rare Beat Cyborg's Hat,,6,,16,,,,,3,6,
Hat,Rare Chill Samurai's Helm,14,8,,,,9,,,,,
Hat,Rare Flow Commander's Helmet,6,15,,,,,,9,,,
Hat,Rare Rush Chieftan's Kasa Hat,,,14,,6,3,4,,,,
Hat,Rare Vibe Ringleader's Cap,,,,10,13,,6,,,,
Hat,Reku's Hair,5,,,,12,,4,,,1,
Hat,Restriction Hair,,5,12,,,,2,,4,,
Hat,Ringmaster Roxie's Hair,,,8,,10,,,,,4,
Hat,Santa's Hat and Beard,,8,,8,,,5,,,,
Hat,Santa's Helper Hood,,12,,,14,,,,3,,
Hat,Shaii's Cut,,12,,,5,,,4,3,,
Hat,Similar Outskirts Beanie,7,,,11,,,,2,3,,
Hat,Slynk's Funky Fresh Hat,,7,,,10,,,3,2,,
Hat,Sound Space Speaker Ears,8,12,,,,,,4,5,,
Hat,tv room's Brain,,,7,,12,,2,,3,,
Hat,Ushi-chan's Horns,,,,12,5,,3,3,,,
Hat,Viyella's Golden Locks,,,,14,,,,4,,3,
Hat,Xana's Street Cap,,,4,3,,,,2,,2,
Hat,Xsitsu's Retro Boater,3,,,5,,4,,,,,
Hat,Shiiu's Headphones,,6,13,,,,,5,,,
Hat,Chroma's Pixel Mage Hat,,,,5,12,,,3,,4,
Hat,Kurokotei's Locks,,,9,7,,,5,,,,
Hat,Party Mode: Rave Hat!,15,,4,,,,4,,,,
Hat,Summer Flamingo Float Hat,7,7,7,7,7,,,,,,
Hat,Autumn Festival Lisa's Hairpin,,,6,13,,,,,,5,
Hat,you's Pigtails,4,,,,15,,,3,,3,
Hat,Apocalypse Survivor Starlet's Hair,13,,,8,,,2,,4,,
Hat,EmoCosine's Delusional Pigtails,,,6,12,,,5,,,,
Hat,Autumnal Adept's Bloom,,,6,,,,7,7,,7,
Hat,Halv's Twintails,,8,8,12,,,3,,,,
Hat,Heavy Metal Starlet's Hat,,,,13,8,,,2,,4,
Hat,Fusq's Hood,8,,,,13,,6,,,,
Hat,Lappy's Wolf Mane,,,15,6,,,4,3,,,
Hat,Electroman Helmet,,6,,,12,,,5,4,,
Hat,Kagi's Egg Shell,,15,,,5,,8,,,,
Neck,Legendary Marshall's Chains,10,,12,,,,,7,,5,
Neck,Legendary Musketeer's Ruffles,,15,,,11,,7,,,2,
Neck,Legendary Rebel's Scarf,10,,,13,,12,,,,,1
Neck,Legendary Beat Cyborg's Control Panel,,9,,16,,,,,7,6,
Neck,Legendary Vibe Ringleader's Necktie,,,,6,18,,14,,,,
Neck,Legendary Flow Commander's Harness,11,16,,,,,,8,,,
Neck,Legendary Rush Chieftan's Beads,,,19,,7,5,6,,,,
Neck,Legendary Chill Samurai's Necktie,15,11,,,,8,,,,,
Neck,Rare Beat Cyborg's Control Panel,,5,,11,,,,,3,4,
Neck,Rare Vibe Ringleader's Necktie,,,,3,12,,12,,,,
Neck,Rare Flow Commander's Harness,9,13,,,,,,6,,,
Neck,Rare Rush Chieftan's Beads,,,14,,4,5,4,,,,
Neck,Rare Chill Samurai's Necktie,13,10,,,,5,,,,,
Neck,Ardolf's Lycanthrope Mask,,10,,7,,,,,,5,
Neck,Onii's Otaku Mask,,2,5,,,,5,,,,
Neck,Gamer's Expensive Bowtie,6,,,8,,,2,4,,,
Neck,Goonie's Disco Bling,,7,,,,,,2,,,2
Neck,Kagan's Cowboy Bandana,5,,2,,,,4,,,,
Neck,Koneko's Cat Charm,9,,,,6,3,,,,,1
Neck,Xana's Street Chains,,,4,1,,,,2,,3,
Neck,Xsitsu's Retro Bowtie,3,,,4,,4,,,,,
Neck,Random's Hip Headphones,2,,,,4,,,4,,,
Neck,Landino's Tri-Chain,10,,,,4,4,,,,,
Neck,Similar Outskirts Zipper,7,,,9,,,,5,3,,
Neck,Schoolgirl's Sailor Scarf,11,,,8,,,,3,,2,
Neck,Riran's Headphones,,,13,5,,,4,,3,,
Neck,New Year's Bowtie,15,,,,11,,,3,,,
Neck,Halloween Witch's Cloak,9,9,,,,,,,4,2,
Neck,t+pazolite's Headshaking Headphones,,,,6,13,,,,,4,
Neck,LeaF's Armageddon Eye,13,,,,6,,4,,,,
Neck,Shiiu's Choker,,4,14,,,,,4,,,
Neck,Halv's Shoulder-Pal Penguin,,8,8,12,,,3,,,,
Neck,Kurokotei's Ribbon,,,11,5,,,4,,,,
Neck,Electroman Scarf,,8,,,10,,,4,5,,
Face,Legendary Marshall's Mask,7,,14,,,,,7,,6,
Face,Legendary Musketeer's Mask,,14,,,14,1,5,,,,
Face,Legendary Rebel's Mask,8,,,13,,13,,,,,1
Face,Legendary Beat Cyborg's Goggles,,9,,18,,,,,5,8,
Face,Legendary Vibe Ringleader's Harmonica,,,,9,18,,7,,,,
Face,Legendary Flow Commander's Visor,10,17,,,,,,9,,,
Face,Legendary Rush Chieftan's Mask,,,19,,7,5,5,,,,
Face,Legendary Chill Samurai's Mask,17,11,,,,8,,,,,
Face,Rare Beat Cyborg's Goggles,,8,,13,,,,,3,5,
Face,Rare Vibe Ringleader's Harmonica,,,,8,15,,7,,,,
