Points	Multiplier	Multiplier	Fill	Time
485	2.67	5.425	0.2309309309	2.783333333
484	2.669976024	5.424940061	0.2309546907	2.783293374
484	2.669904584	5.424761459	0.2310254877	2.783174306
484	2.669786408	5.424466021	0.2311425983	2.782977347
484	2.669622229	5.424055572	0.231305299	2.782703714
484	2.669412774	5.423531936	0.2315128663	2.782354624
484	2.669158776	5.422896939	0.2317645766	2.781931293
484	2.668872616	5.422181539	0.2320481588	2.781454359
484	2.668566152	5.421415379	0.2323518619	2.780943586
484	2.668224663	5.420561658	0.2326902739	2.780374438
483	2.667848697	5.419621743	0.2330628526	2.779747829
483	2.667438801	5.418597004	0.2334690557	2.779064669
483	2.666995523	5.417488807	0.2339083408	2.778325871
483	2.666519409	5.416298521	0.2343801657	2.777532348
483	2.666016144	5.41504036	0.2348788965	2.776693573
482	2.665517439	5.413793596	0.2353731089	2.775862398
482	2.664991957	5.412479893	0.2358938564	2.774986595
482	2.664440133	5.411100334	0.2364407087	2.774066889
481	2.663862402	5.409656005	0.2370132353	2.773104003
481	2.663259197	5.408147993	0.237611006	2.772098662
481	2.662630953	5.406577382	0.2382335904	2.771051588
480	2.661978103	5.404945258	0.2388805583	2.769963506
480	2.661311284	5.40327821	0.2395413703	2.76885214
480	2.660648132	5.401620329	0.2401985484	2.767746886
479	2.659964027	5.399910067	0.2408764899	2.766606711
479	2.65925934	5.398148349	0.2415748286	2.765432233
479	2.658534439	5.396336098	0.2422931983	2.764224065
478	2.657789695	5.394474238	0.2430312328	2.762982826
478	2.657025477	5.392563694	0.2437885659	2.761709129
478	2.656242155	5.390605388	0.2445648313	2.760403592
477	2.655440098	5.388600244	0.2453596629	2.75906683
477	2.654644733	5.386611833	0.246147862	2.757741222
476	2.653832437	5.384581091	0.2469528407	2.756387394
476	2.653003542	5.382508855	0.2477742678	2.755005903
476	2.652158386	5.380395966	0.2486118093	2.753597311
475	2.651297307	5.378243267	0.2494651313	2.752162178
475	2.650420641	5.376051602	0.2503338997	2.750701068
474	2.649528724	5.373821811	0.2512177806	2.749214541
474	2.648621896	5.371554739	0.2521164399	2.747703159
473	2.647704433	5.369261084	0.2530256365	2.746174056
473	2.646777573	5.366943932	0.253944147	2.744629288
472	2.645837062	5.364592656	0.2548761845	2.743061771
472	2.64488323	5.362208074	0.2558214242	2.741472049
471	2.643916402	5.359791006	0.2567795413	2.73986067
