Type,Star,Mini Name,Chill,Flow,Rush,Beat,Vibe,,CbMlt,FvMlt,FvTim,FvFil,L1 Stats,Chill,Flow,Rush,Beat,Vibe,,CbMlt,FvMlt,FvTim,FvFil,Song Target
Vibe,1,t+pazolite,,,,15,60,,,,,24,,,,,3,12,,,,,6,"[""Party in the HOLLOWood by t+pazolite feat. Nanahira"",""Party in the HOLLOWood (Hard) by t+pazolite feat. Nanahira"",""Party in the HOLLOWood (Easy) by t+pazolite feat. Nanahira"",""Sanctuary by t+pazolite"",""Sanctuary (Hard) by t+pazolite"",""Sanctuary (Easy) by t+pazolite"",""BPM=RT by t+pazolite"",""BPM=RT (Hard) by t+pazolite"",""Chartreuse Green by t+pazolite"",""Chartreuse Green (Hard) by t+pazolite"",""Chartreuse Green (Easy) by t+pazolite"",""cheatreal by t+pazolite"",""cheatreal (Hard) by t+pazolite"",""Niesonae by t+pazolite feat. Nanahira"",""Niesonae (Hard) by t+pazolite feat. Nanahira"",""Refactoring Travel by t+pazolite feat. Nanahira"",""Refactoring Travel (Hard) by t+pazolite feat. Nanahira"",""HYPER4ID by t+pazolite"",""HYPER4ID (Hard) by t+pazolite"",""Kowloon of the Kijoh by t+pazolite"",""Kowloon of the Kijoh (Hard) by t+pazolite"",""Psyched Fevereiro by t+pazolite"",""Psyched Fevereiro (Hard) by t+pazolite"",""Psyched Fevereiro (Easy) by t+pazolite""]"
Chill,2,Trailblazing Trance Zara,65,,,,40,,,32,,,,13,,,,8,,,8,,,"[""Duality by Dimrain47"",""Duality (Hard) by Dimrain47"",""Neurotoxicity (Hard) by Kurokotei"",""#include <signal.h> by Kurokotei"",""#include <signal.h> (Hard) by Kurokotei"",""Neurotoxicity by Kurokotei"",""Operation: Evolution by Dimrain47"",""Operation: Evolution (Hard) by Dimrain47"",""At the Speed of Light [EXTENDED CUT] by Dimrain47"",""At the Speed of Light [EXTENDED CUT] (Hard) by Dimrain47"",""Canon In D Major (EduTry Remix) by Pachelbel (Remixed by EduTry)"",""Canon In D Major (EduTry Remix) (Hard) by Pachelbel (Remixed by EduTry)"",""Chromatic by Ardolf"",""Chromatic (Hard) by Ardolf"",""Untitled Soul by HyuN feat. rerone"",""Untitled Soul (Hard) by HyuN feat. rerone"",""Vaportrailed (Radio Edit) by Reku Mochizuki"",""Vaportrailed (Radio Edit) (Hard) by Reku Mochizuki"",""Vaportrailed (Radio Edit) (Easy) by Reku Mochizuki"",""Landscape by Juggernaut"",""Landscape (Hard) by Juggernaut"",""Lapisalice by Reku Mochizuki"",""Lapisalice (Hard) by Reku Mochizuki"",""CRITICATION by Kagetora"",""CRITICATION (Hard) by Kagetora"",""ATENA by Yooh"",""ATENA (Hard) by Yooh"",""LiFE Garden by Yooh"",""LiFE Garden (Hard) by Yooh"",""LiFE Garden (Easy) by Yooh"",""NightLine by Shandy Kubota (USAO)"",""NightLine (Hard) by Shandy Kubota (USAO)"",""NightLine (Easy) by Shandy Kubota (USAO)"",""Wings by Yooh"",""Wings (Hard) by Yooh"",""PIXELIZE by Snail's House"",""PIXELIZE (Hard) by Snail's House"",""PIXELIZE (Easy) by Snail's House"",""Dreams by Yooh"",""Dreams (Hard) by Yooh""]"
Beat,2,Halloween Witch Teresa,,35,,65,,,24,,,,,,7,,13,,,6,,,,"[""Mopemope by LeaF (7eaF)"",""Mopemope (Hard) by LeaF (7eaF)"",""sp0M0ky by garlagan"",""sp0M0ky (Hard) by garlagan"",""sp0M0ky (Easy) by garlagan"",""Mopemope (Easy) by LeaF (7eaF)"",""GHOST (2020 Halloween+++++++++ VIP) by Camellia"",""GHOST (2020 Halloween+++++++++ VIP) (Hard) by Camellia"",""GHOST (2020 Halloween+++++++++ VIP) (Easy) by Camellia"",""(The) Red * Room by Camellia"",""(The) Red * Room (Hard) by Camellia"",""(The) Red * Room (Easy) by Camellia"",""Splatter Party by Camellia"",""Splatter Party (Hard) by Camellia"",""Splatter Party (Easy) by Camellia"",""RoBeats Halloween 2021 Mashup! [EXTENDED CUT] by Various artists (Arranged by poscle and ZirconEscalus)"",""RoBeats Halloween 2021 Mashup! [EXTENDED CUT] (Hard) by Various artists (Arranged by poscle and ZirconEscalus)"",""Trick or Treat by Hyper Potions"",""Trick or Treat (Hard) by Hyper Potions"",""Viral Cleric by seatrus"",""Viral Cleric (Hard) by seatrus"",""Howlin' Pumpkin by brz1128"",""Howlin' Pumpkin (Hard) by brz1128"",""Spooky Dance Party by seatrus"",""Spooky Dance Party (Hard) by seatrus"",""Spooky Dance Party (Easy) by seatrus"",""Party in the HOLLOWood by t+pazolite feat. Nanahira"",""Party in the HOLLOWood (Hard) by t+pazolite feat. Nanahira"",""Party in the HOLLOWood (Easy) by t+pazolite feat. Nanahira"",""THE SERVANT OF EVIL by HyuN vs JP-8 Eater"",""THE SERVANT OF EVIL (Hard) by HyuN vs JP-8 Eater"",""Waltz Capriccio by Synthion"",""Waltz Capriccio (Hard) by Synthion"",""OMG by Halv"",""OMG (Hard) by Halv"",""Skylate's Halloween Electro-Swing Spook-taculaire! by Project Skylate"",""Skylate's Halloween Electro-Swing Spook-taculaire! (Hard) by Project Skylate"",""Skylate's Halloween Electro-Swing Spook-taculaire! (Easy) by Project Skylate"",""Shadowfall by Lappy"",""Shadowfall (Hard) by Lappy"",""Mystica:ll Refrain [EXTENDED CUT] by seatrus"",""Mystica:ll Refrain [EXTENDED CUT] (Hard) by seatrus""]"
Vibe,2,Santa's Helper Marsha,,,50,,65,,24,,,,,,,10,,13,,6,,,,"[""Dance of the Sugar Plum Fairy by Tchaikovsky (Performed by Rousseau)"",""Dance of the Sugar Plum Fairy (Hard) by Tchaikovsky (Performed by Rousseau)"",""Twinkle*Winter by brz1128"",""Twinkle*Winter (Hard) by brz1128"",""Twinkle*Winter (Easy) by brz1128"",""Dance Of The Sugarplum Fairy (The Nutcracker and the Four Realms Remix) by Tchaikovsky (Remixed by Riwall Harjay)"",""Dance Of The Sugarplum Fairy (The Nutcracker and the Four Realms Remix) (Hard) by Tchaikovsky (Remixed by Riwall Harjay)"",""carol of the circles by nekodex"",""carol of the circles (Hard) by nekodex"",""Canon In D Major (EduTry Remix) by Pachelbel (Remixed by EduTry)"",""Canon In D Major (EduTry Remix) (Hard) by Pachelbel (Remixed by EduTry)"",""I don't care about Christmas though  by Camellia feat. Nanahira"",""I don't care about Christmas though  (Hard) by Camellia feat. Nanahira"",""I don't care about Christmas though  (Easy) by Camellia feat. Nanahira"",""welcome to christmas! by nekodex"",""welcome to christmas! (Hard) by nekodex"",""Canneles au chocolat by brz1128"",""Canneles au chocolat (Hard) by brz1128"",""Canneles au chocolat (Easy) by brz1128"",""Little Drummer Girl by nekodex"",""Little Drummer Girl (Hard) by nekodex"",""Crystallized Snow by BrayanKitsn"",""Crystallized Snow (Hard) by BrayanKitsn"",""Crystallized Snow (Easy) by BrayanKitsn"",""Christmas Frenzy by Egg Yolk"",""Christmas Frenzy (Hard) by Egg Yolk"",""Christmas Frenzy (Easy) by Egg Yolk"",""Until the end of time by Ardolf"",""Until the end of time (Hard) by Ardolf"",""Until the end of time (Easy) by Ardolf"",""Stargaze Station by seatrus"",""Stargaze Station (Hard) by seatrus"",""Stargaze Station (Easy) by seatrus"",""White Nights by seatrus"",""White Nights (Hard) by seatrus"",""Tokyo's Starlight by HyuN"",""Tokyo's Starlight (Hard) by HyuN"",""Vaportrailed (Radio Edit) by Reku Mochizuki"",""Vaportrailed (Radio Edit) (Hard) by Reku Mochizuki"",""Vaportrailed (Radio Edit) (Easy) by Reku Mochizuki"",""Roses & Ribbons by Synthion & Nila"",""Roses & Ribbons (Hard) by Synthion & Nila"",""Wishing you a very H4RDC0RE Christmas! (With Project Skylate) by Project Skylate"",""Wishing you a very H4RDC0RE Christmas! (With Project Skylate) (Hard) by Project Skylate"",""Wishing you a very H4RDC0RE Christmas! (With Project Skylate) (Easy) by Project Skylate"",""Snowy*heart [EXTENDED CUT] by AAAA"",""Snowy*heart [EXTENDED CUT] (Hard) by AAAA"",""NeruNeru-Chan travels to the Luminous Stars! by Halv"",""NeruNeru-Chan travels to the Luminous Stars! (Hard) by Halv"",""NeruNeru-Chan travels to the Luminous Stars! (Easy) by Halv"",""Spearmint by Kagi"",""Spearmint (Hard) by Kagi"",""Wicked in Winter by Autodidactic Studios feat. Waterflame and pftq"",""Wicked in Winter (Hard) by Autodidactic Studios feat. Waterflame and pftq""]"
Vibe,1,Waterflame,25,,,,50,,,,20,,,5,,,,10,,,,5,,"[""Arcade Punk by Waterflame"",""Arcade Punk (Hard) by Waterflame"",""Blast Processing by Waterflame"",""Blast Processing (Hard) by Waterflame"",""Clutterfunk by Waterflame"",""Clutterfunk (Hard) by Waterflame"",""Clutterfunk (Easy) by Waterflame"",""Electroman Adventures V2 by Waterflame"",""Electroman Adventures V2 (Hard) by Waterflame"",""Electroman Adventures V2 (Easy) by Waterflame"",""Endgame by Waterflame"",""Endgame (Hard) by Waterflame"",""Glorious Morning 2 by Waterflame"",""Glorious Morning 2 (Hard) by Waterflame"",""Hexagon Force by Waterflame"",""Hexagon Force (Hard) by Waterflame"",""Hexagon Force (Easy) by Waterflame"",""Jumper by Waterflame"",""Jumper (Hard) by Waterflame"",""Lightspeed by Waterflame"",""Lightspeed (Hard) by Waterflame"",""Lines Fading by Waterflame"",""Lines Fading (Hard) by Waterflame"",""Final Battle [EXTENDED CUT] by Waterflame"",""Final Battle [EXTENDED CUT] (Hard) by Waterflame"",""Time Machine by Waterflame"",""Time Machine (Hard) by Waterflame"",""Electroman Adventures V3 by Waterflame"",""Electroman Adventures V3 (Hard) by Waterflame"",""Electroman Adventures V3 (Easy) by Waterflame"",""Genshindou by Autodidactic Studios feat. Waterflame, Diana Garnet, and pftq"",""Genshindou (Hard) by Autodidactic Studios feat. Waterflame, Diana Garnet, and pftq"",""Genshindou (Easy) by Autodidactic Studios feat. Waterflame, Diana Garnet, and pftq"",""Koto Goa Mangetsu by Autodidactic Studios feat. Waterflame and pftq"",""Koto Goa Mangetsu (Hard) by Autodidactic Studios feat. Waterflame and pftq""]"
Flow,1,WHIPPED CREAM,25,50,,,,,,,20,,,5,10,,,,,,,5,,"[""Warp by Bossfight [Monstercat]"",""Warp (Hard) by Bossfight [Monstercat]"",""Warp (Easy) by Bossfight [Monstercat]"",""Deja Reve by GG Magree [Monstercat]"",""Deja Reve (Hard) by GG Magree [Monstercat]"",""This Time by Kayzo [Monstercat]"",""This Time (Hard) by Kayzo [Monstercat]"",""Worth The Lie by MUZZ & Koven & Feint [Monstercat]"",""Worth The Lie (Hard) by MUZZ & Koven & Feint [Monstercat]"",""Worth The Lie (Easy) by MUZZ & Koven & Feint [Monstercat]"",""Overkill by RIOT [Monstercat]"",""Overkill (Hard) by RIOT [Monstercat]"",""Overkill (Easy) by RIOT [Monstercat]"",""CRY by WHIPPED CREAM [Monstercat]"",""CRY (Hard) by WHIPPED CREAM [Monstercat]""]"
Flow,2,Tower Heroes Mirai,,60,35,,,,,24,,,,,12,7,,,,,6,,,
Vibe,1,Tower Heroes Wizard,,25,,,50,,20,,,,,,5,,,10,,5,,,,
Rush,2,Birthday Alien,,35,60,,,,24,,,,,,7,12,,,,6,,,,"[""The Wither by BSlick"",""Insight by Haywyre"",""Candyland by Tobu"",""Candyland (Hard) by Tobu"",""Space Battle by F-777"",""Space Battle (Hard) by F-777"",""Insight (Hard) by Haywyre"",""The Wither (Hard) by BSlick"",""Daydream by RiraN"",""Daydream (Hard) by RiraN"",""Artificial Intelligence Bomb by naruto2413"",""Artificial Intelligence Bomb (Hard) by naruto2413"",""Dark Sheep [EXTENDED CUT] by Chroma"",""Dark Sheep [EXTENDED CUT] (Hard) by Chroma"",""M1LLI0N PP by Camellia"",""M1LLI0N PP (Hard) by Camellia"",""Reaction by James Landino feat. Slyleaf"",""Reaction (Hard) by James Landino feat. Slyleaf"",""Power Up by Razihel"",""Power Up (Hard) by Razihel"",""Reaction (Easy) by James Landino feat. Slyleaf"",""Insight (Easy) by Haywyre"",""M1LLI0N PP (Easy) by Camellia"",""Dark Sheep [EXTENDED CUT] (Easy) by Chroma"",""Space Battle (Easy) by F-777"",""Meant To Be by Slynk"",""Meant To Be (Hard) by Slynk"",""Meant To Be (Easy) by Slynk"",""Insight [EXTENDED CUT] by Haywyre [Anniversary]"",""Insight [EXTENDED CUT] (Hard) by Haywyre [Anniversary]"",""Scattered Faith by Kurokotei"",""Scattered Faith (Hard) by Kurokotei"",""Scattered Faith (Easy) by Kurokotei"",""Daydream (Easy) by RiraN"",""Brain Power by NOMA"",""Brain Power (Hard) by NOMA"",""Brain Power (Easy) by NOMA"",""FinnMK's RoBeats 6th Anniversary Mega-Remix! [EXTENDED CUT] by FinnMK [Anniversary]"",""FinnMK's RoBeats 6th Anniversary Mega-Remix! [EXTENDED CUT] (Hard) by FinnMK [Anniversary]"",""Tool-Assisted Speedcore (TQBF Frame Advance RMX) [EXTENDED CUT] by Kobaryo"",""Tool-Assisted Speedcore (TQBF Frame Advance RMX) [EXTENDED CUT] (Hard) by Kobaryo"",""Calamity Fortune [EXTENDED CUT] by LeaF (7eaF) [Anniversary]"",""Calamity Fortune [EXTENDED CUT] (Hard) by LeaF (7eaF) [Anniversary]"",""SEviiN [EXTENDED CUT] by Various artists (Arranged by Livium) [Anniversary]"",""SEviiN [EXTENDED CUT] (Hard) by Various artists (Arranged by Livium) [Anniversary]"",""M1LLI0N PP (Full Version) [EXTENDED CUT] by Camellia [Anniversary]"",""M1LLI0N PP (Full Version) [EXTENDED CUT] (Hard) by Camellia [Anniversary]"",""Scattered Faith (Full Version) [EXTENDED CUT] by Kurokotei [Anniversary]"",""Scattered Faith (Full Version) [EXTENDED CUT] (Hard) by Kurokotei [Anniversary]"",""Exit This Earth's Atomosphere (Full) [EXTENDED CUT] by Camellia [Anniversary]"",""Exit This Earth's Atomosphere (Full) [EXTENDED CUT] (Hard) by Camellia [Anniversary]"",""Sound Chimera (Full) [EXTENDED CUT] by Laur [LAUR1200] [Anniversary]"",""Sound Chimera (Full) [EXTENDED CUT] (Hard) by Laur [LAUR1200] [Anniversary]"",""We Could Get More Machinegun Psystyle! -And More Genre Switches- [EXTENDED CUT] by Camellia [Anniversary]"",""We Could Get More Machinegun Psystyle! -And More Genre Switches- [EXTENDED CUT] (Hard) by Camellia [Anniversary]"",""SYSTEM ERROR [EXTENDED CUT] by Laur [LAUR1200] [Anniversary]"",""SYSTEM ERROR [EXTENDED CUT] (Hard) by Laur [LAUR1200] [Anniversary]"",""Roguelife by himihike & Livium [Anniversary]"",""Roguelife (Hard) by himihike & Livium [Anniversary]""]"
Chill,1,Creo,55,,,15,,,,24,,,,11,,,3,,,,6,,,"[""Exosphere by Creo"",""Exosphere (Hard) by Creo"",""Dimension by Creo"",""Dimension (Hard) by Creo"",""Challenger by Creo"",""Challenger (Hard) by Creo"",""Shape of the Sun by Creo"",""Shape of the Sun (Hard) by Creo"",""Aurora by Creo"",""Aurora (Hard) by Creo"",""Worlds by Creo"",""Worlds (Hard) by Creo"",""Rock Thing by Creo"",""Rock Thing (Hard) by Creo"",""Octane by Creo"",""Octane (Hard) by Creo"",""Lightmare by Creo"",""Lightmare (Hard) by Creo"",""Rivals by Creo"",""Rivals (Hard) by Creo"",""Enigma by Creo"",""Enigma (Hard) by Creo"",""Dune by Creo"",""Dune (Hard) by Creo"",""Carnivores by Creo"",""Carnivores (Hard) by Creo"",""Crystallize by Creo"",""Crystallize (Hard) by Creo"",""Sphere by Creo"",""Sphere (Hard) by Creo"",""Place On Fire by Creo"",""Place On Fire (Hard) by Creo"",""Red Haze by Creo"",""Red Haze (Hard) by Creo"",""Nautilus by Creo"",""Nautilus (Hard) by Creo"",""Aura by Creo"",""Aura (Hard) by Creo"",""Epilogue by Creo"",""Epilogue (Hard) by Creo"",""Awaken by Creo"",""Awaken (Hard) by Creo"",""The Best of Creo Vol. 1 [EXTENDED CUT] by Creo (Arranged by ZirconEscalus)"",""The Best of Creo Vol. 1 [EXTENDED CUT] (Hard) by Creo (Arranged by ZirconEscalus)"",""Dimension (Easy) by Creo"",""The Best of Creo Vol. 2 [EXTENDED CUT] by Creo (Arranged by ZirconEscalus)"",""The Best of Creo Vol. 2 [EXTENDED CUT] (Hard) by Creo (Arranged by ZirconEscalus)"",""Aura (Easy) by Creo"",""Carnivores (Easy) by Creo"",""Exosphere (Easy) by Creo""]"
