Song Name	Sad Dream (Easy) by UNDEAD CORPORATION
Title	Sad Dream (Easy)
Artist	UNDEAD CORPORATION
Description	Track 5 from Japanese heavy metal band UNDEAD CORPORATION's 2015 album 'Flash Back'. If I close my eyes / Everything seems to stay like good old days... Map by Ucitysm.
Difficulty	4
Primary Color	Chill
Secondary Color	Flow
Cover Image ID	9658332088
Audio Asset ID	rbxassetid://9126087226
Audio File	9126087226.ogg
Last Note Time	154.610
Total Notes	495
Fever Fill	134
Fever Time	23.191500
Long Notes	94
BPM	200
Song Length	155.610000000

Timing Points
0.088	300.000000
1.318	300.000000
10.157	300.000000
10.907	300.000000
23.359	300.000000
23.517	300.000000
23.937	300.000000
24.120	300.000000
24.270	300.000000
24.560	300.000000
25.307	300.000000
28.015	300.000000
28.170	300.000000
28.326	300.000000
28.926	300.000000
29.070	300.000000
30.120	300.000000
33.407	300.000000
33.707	300.000000
33.863	300.000000
34.020	300.000000
34.920	300.000000
36.104	300.000000
38.063	300.000000
38.519	300.000000
38.813	300.000000
39.113	300.000000
39.269	300.000000
39.717	300.000000
40.012	300.000000
40.174	300.000000
40.478	300.000000
40.928	300.000000
43.766	300.000000
43.927	300.000000
44.363	300.000000
44.369	300.000000
44.519	300.000000
47.203	300.000000
47.885	300.000000
47.966	300.000000
48.119	300.000000
52.901	300.000000
54.107	300.000000
55.005	300.000000
55.302	300.000000
55.889	300.000000
56.046	300.000000
56.209	300.000000
56.509	300.000000
57.706	300.000000
58.612	300.000000
58.915	300.000000
59.210	300.000000
60.110	300.000000
61.021	300.000000
61.321	300.000000
62.065	300.000000
62.515	300.000000
63.721	300.000000
64.616	300.000000
64.916	300.000000
65.505	300.000000
65.962	300.000000
66.111	300.000000
66.385	300.000000
66.390	300.000000
66.920	300.000000
67.001	300.000000
67.310	300.000000
67.610	300.000000
68.510	300.000000
71.805	300.000000
72.105	300.000000
72.549	300.000000
72.843	300.000000
73.293	300.000000
79.301	300.000000
81.416	300.000000
81.716	300.000000
82.612	300.000000
82.906	300.000000
83.815	300.000000
84.115	300.000000
85.028	300.000000
85.324	300.000000
86.218	300.000000
86.518	300.000000
86.812	300.000000
87.712	300.000000
95.343	300.000000
95.649	300.000000
95.803	300.000000
95.961	300.000000
96.111	300.000000
96.253	300.000000
97.311	300.000000
100.454	300.000000
100.904	300.000000
112.748	300.000000
112.893	300.000000
113.047	300.000000
113.641	300.000000
113.794	300.000000
114.111	300.000000
140.818	300.000000
141.261	300.000000
141.711	300.000000
145.600	300.000000
146.045	300.000000
146.495	300.000000
148.527	300.000000
148.609	300.000000
