Song Name	Fur Elise by Ludwig van Beethoven (Performed by Rousseau)
Title	Fur Elise
Artist	Ludwig van Beethoven (Performed by Rousseau)
Description	Also known as Batatelle No. 25 for solo piano, one of Ludwig van Beethoven's most popular compositions published fourty years after his death. Performed by piano youtuber Rousseau. Map by Cyantifiction and TheRussean.
Difficulty	7
Primary Color	Beat
Secondary Color	Beat
Cover Image ID	7486775820
Audio Asset ID	rbxassetid://9590479067
Audio File	9590479067.mp3
Last Note Time	145.957
Total Notes	608
Fever Fill	164
Fever Time	21.893550
Long Notes	116
BPM	162
Song Length	146.957000000

Timing Points
0.770	425.531915
0.770	425.531915
1.142	324.324324
1.142	324.324324
2.114	324.324324
2.114	336.134454
4.130	336.134454
4.130	363.636364
4.857	363.636364
4.857	329.670330
6.175	329.670330
6.175	335.195531
7.180	376.175549
7.180	376.175549
8.308	350.877193
8.308	350.877193
9.360	333.333333
9.360	333.333333
10.693	344.827586
10.693	344.827586
12.761	344.827586
12.761	372.670807
13.506	335.195531
13.506	335.195531
14.846	350.877193
14.846	350.877193
16.600	375.000000
16.600	375.000000
18.100	375.000000
18.100	358.208955
20.249	358.208955
20.249	361.445783
21.333	410.958904
21.333	410.958904
21.743	392.156863
21.743	392.156863
22.919	392.156863
22.919	365.853659
24.382	329.670330
24.382	329.670330
25.700	329.670330
25.700	340.909091
27.745	372.670807
27.745	372.670807
28.490	372.670807
28.490	335.195531
29.830	340.909091
29.830	340.909091
30.852	363.636364
30.852	363.636364
31.942	363.636364
31.942	377.358491
33.074	357.142857
33.074	357.142857
34.145	357.142857
34.145	346.820809
35.185	346.820809
35.185	363.636364
36.275	370.370370
36.275	370.370370
37.386	413.793103
37.386	413.793103
37.799	413.793103
37.799	408.163265
38.207	408.163265
38.207	346.820809
39.247	335.195531
39.247	335.195531
40.587	335.195531
40.587	340.909091
41.609	357.142857
41.609	357.142857
43.394	357.142857
43.394	342.857143
44.765	342.857143
44.765	340.909091
45.787	340.909091
45.787	357.142857
46.858	357.142857
46.858	370.370370
47.783	470.588235
47.783	470.588235
48.253	333.333333
48.253	333.333333
48.586	333.333333
48.586	379.746835
49.725	379.746835
49.725	413.793103
50.138	397.350993
50.138	397.350993
53.316	397.350993
53.316	389.610390
55.653	413.793103
55.653	413.793103
56.894	413.793103
56.894	327.868852
58.205	327.868852
58.205	352.941176
61.027	352.941176
61.027	363.636364
62.481	365.853659
62.481	365.853659
63.578	416.666667
63.578	416.666667
63.994	425.531915
63.994	425.531915
66.121	425.531915
66.121	521.739130
68.497	300.000000
68.497	300.000000
71.122	300.000000
71.122	337.999606
72.136	337.999606
72.136	319.334082
73.093	319.334082
73.093	359.333078
74.171	318.665852
74.171	318.665852
75.127	318.665852
75.127	326.667501
77.087	326.667501
77.087	358.667193
78.163	358.667193
78.163	326.667501
79.143	348.999535
79.143	348.999535
80.190	346.666513
80.190	346.666513
81.230	346.666513
81.230	376.498936
82.722	349.750220
82.722	349.750220
84.122	349.750220
84.122	328.500723
85.478	328.500723
85.478	333.667000
86.437	333.667000
86.437	345.000086
87.472	345.000086
87.472	334.666421
88.476	337.999606
88.476	337.999606
89.490	334.666421
89.490	334.666421
91.163	334.666421
91.163	357.000482
91.520	357.000482
91.520	387.667020
92.683	380.334187
92.683	380.334187
93.824	380.334187
93.824	384.667167
94.978	400.667780
94.978	400.667780
96.180	386.321639
96.180	386.321639
97.317	386.321639
97.317	393.667207
98.498	393.667207
98.498	393.334295
99.678	402.665647
99.678	402.665647
100.886	406.666621
100.886	406.666621
102.106	400.000000
102.106	400.000000
103.306	400.000000
103.306	386.001029
104.464	405.000405
104.464	405.000405
105.274	513.000282
105.274	513.000282
105.787	513.000282
105.787	411.001130
107.020	411.001130
107.020	404.334465
108.233	388.334434
108.233	388.334434
109.398	420.500816
109.398	420.500816
110.239	420.500816
110.239	466.998755
110.706	447.333890
110.706	447.333890
112.048	447.333890
112.048	439.666733
113.367	390.332759
113.367	390.332759
114.538	390.332759
114.538	360.999970
115.621	360.999970
115.621	373.831776
116.790	373.831776
116.790	431.999654
118.086	427.667218
118.086	427.667218
119.369	427.667218
119.369	529.997880
120.959	378.501136
120.959	378.501136
121.716	338.667344
121.716	338.667344
122.732	338.667344
122.732	322.667384
123.700	322.667384
123.700	353.334001
124.760	353.334001
124.760	322.000698
125.726	330.665961
125.726	330.665961
126.718	330.665961
126.718	339.666221
