Song Name	Revolutionary Etude by Frederic Chopin (Performed by Rousseau)
Title	Revolutionary Etude
Artist	Frederic Chopin (Performed by Rousseau)
Description	Also known as 'Etude on the Bombardment of Warsaw', this solo piano work was inspired by the failed Polish November Uprising of 1831. Performed by piano youtuber Rousseau. Map by doofyplayer.
Difficulty	11
Primary Color	Rush
Secondary Color	Rush
Cover Image ID	7486775723
Audio Asset ID	rbxassetid://7278154610
Audio File	7278154610.ogg
Last Note Time	153.975
Total Notes	546
Fever Fill	180
Fever Time	23.096250
Long Notes	6
BPM	137
Song Length	154.975000000

Timing Points
1.240	441.176471
1.240	441.176471
1.681	416.666667
4.107	441.176471
4.548	441.176471
4.769	441.176471
4.769	441.176471
7.746	458.015267
8.433	458.015267
8.433	458.015267
9.349	441.176471
10.231	397.350993
10.501	397.350993
10.501	405.405405
12.240	416.666667
12.240	416.666667
13.073	451.127820
13.073	451.127820
13.975	355.029586
13.975	355.029586
14.685	402.684564
15.484	405.405405
15.484	405.405405
17.105	372.670807
17.105	372.670807
20.086	408.163265
20.086	408.163265
21.922	370.370370
21.922	370.370370
23.403	394.736842
23.403	394.736842
24.402	416.666667
24.402	416.666667
26.068	451.127820
26.068	451.127820
27.872	468.750000
27.872	468.750000
29.225	517.241379
29.225	517.241379
29.742	397.350993
29.742	397.350993
31.342	428.571429
31.342	428.571429
33.056	428.571429
33.056	419.580420
34.734	389.610390
34.734	389.610390
35.513	465.116279
35.513	465.116279
36.584	465.116279
36.584	428.571429
38.378	428.571429
38.378	444.444444
40.287	454.545455
40.287	454.545455
42.029	454.545455
42.029	454.545455
43.790	476.190476
43.790	476.190476
45.694	476.190476
45.694	461.538462
46.617	461.538462
46.617	500.000000
47.617	434.782609
47.617	434.782609
49.356	434.782609
49.356	419.580420
51.034	485.829960
51.034	485.829960
52.901	449.438202
52.901	449.438202
54.754	436.363636
54.754	436.363636
56.579	458.015267
56.579	458.015267
58.483	458.015267
58.483	465.116279
60.388	465.116279
60.388	480.000000
62.339	555.555556
62.339	555.555556
66.019	428.571429
66.019	428.571429
66.900	458.015267
66.900	458.015267
67.815	444.444444
67.815	444.444444
71.370	444.444444
71.370	441.176471
73.202	458.015267
73.202	458.015267
78.698	454.545455
78.698	454.545455
80.587	461.538462
80.587	461.538462
84.510	461.538462
84.510	416.666667
85.343	461.538462
85.343	461.538462
86.266	461.538462
86.266	384.615385
87.804	384.615385
87.804	425.531915
89.506	425.531915
89.506	428.571429
91.106	363.636364
91.106	363.636364
92.793	494.845361
92.793	494.845361
95.390	425.531915
95.390	425.531915
97.154	425.531915
97.154	425.531915
98.856	394.736842
98.856	394.736842
100.632	384.615385
100.632	384.615385
102.939	454.545455
102.939	454.545455
103.393	393.442623
103.393	393.442623
105.020	406.779661
105.020	406.779661
106.308	406.779661
106.308	400.000000
107.908	400.000000
107.908	428.571429
108.765	428.571429
108.765	372.670807
109.957	428.571429
109.957	428.571429
111.242	433.212996
111.242	433.212996
112.541	441.176471
112.541	441.176471
113.864	441.176471
113.864	431.654676
115.158	481.540931
115.158	481.540931
117.084	462.962963
117.084	462.962963
118.368	465.116279
118.368	465.116279
119.298	441.176471
119.298	441.176471
120.180	451.127820
120.180	451.127820
121.984	451.127820
121.984	480.000000
122.464	480.000000
122.464	431.654676
123.758	451.127820
123.758	451.127820
127.367	413.793103
127.367	413.793103
128.194	352.941176
128.194	352.941176
130.952	375.000000
130.952	375.000000
131.889	512.820513
131.889	512.820513
132.401	419.580420
132.401	419.580420
134.079	387.096774
134.079	387.096774
135.627	400.000000
135.627	400.000000
137.341	480.000000
137.341	480.000000
139.261	500.000000
139.261	500.000000
141.261	500.000000
141.261	483.870968
142.228	526.315789
142.228	526.315789
143.280	526.315789
143.280	480.961924
145.203	504.201681
145.203	504.201681
146.715	612.244898
146.715	612.244898
147.327	480.000000
147.327	480.000000
147.807	441.176471
147.807	441.176471
149.571	368.098160
149.571	368.098160
151.043	441.176471
151.043	441.176471
152.807	389.610390
152.807	389.610390


Song Data
1.240	1	4	1
1.240	2	3	1
1.460	3	2	1
1.681	4	1	1
1.889	5	4	1
2.097	6	3	1
2.305	7	2	1
2.514	8	1	1
2.722	9	4	1
2.930	10	3	1
3.139	11	2	1
3.347	12	1	1
3.555	13	4	1
3.764	14	3	1
3.972	15	2	1
4.107	16	4	1
4.107	17	1	1
4.548	18	1	1
4.769	19	4	1
4.769	20	3	1
5.099	21	2	1
5.210	22	1	1
5.430	23	4	1
5.651	24	3	1
5.871	25	2	1
6.092	26	1	1
6.313	27	4	1
6.533	28	3	1
6.754	29	2	1
6.974	30	1	1
7.195	31	4	1
7.416	32	3	1
7.636	33	2	1
7.746	34	4	1
7.746	35	1	1
8.204	36	1	1
8.433	37	3	1
8.433	38	4	1
8.948	39	4	1
9.177	40	3	1
9.349	41	2	1
9.569	42	1	1
9.790	43	4	1
10.010	44	3	1
10.231	45	2	1
10.380	46	1	1
10.602	47	4	1
10.805	48	3	1
11.007	49	2	1
11.210	50	1	1
11.413	51	4	1
11.615	52	3	1
11.818	53	2	1
12.021	54	1	1
12.240	55	4	1
12.448	56	3	1
12.656	57	2	1
12.865	58	1	1
13.073	59	4	1
13.298	60	3	1
13.524	61	2	1
13.749	62	1	1
13.975	63	4	1
14.211	64	3	1
14.418	65	2	1
14.596	66	1	1
14.836	67	4	1
15.087	68	3	1
15.289	69	2	1
15.484	70	1	1
17.105	71	2	1
17.943	72	3	1
18.223	73	1	1
18.223	74	2	1
18.409	75	3	1
18.409	76	4	1
18.782	77	2	1
18.968	78	1	1
18.968	79	4	1
20.086	80	3	1
20.086	81	1	1
20.188	82	2	1
20.188	83	4	1
20.596	84	1	1
20.698	85	3	1
20.698	86	4	1
21.616	87	1	1
21.616	88	4	1
21.922	89	1	1
21.922	90	2	1
22.107	91	4	1
22.107	92	3	1
22.477	93	2	1
22.662	94	4	1
22.662	95	1	1
23.797	96	3	1
23.797	97	1	1
23.896	98	2	1
23.896	99	4	1
24.291	100	1	1
24.402	101	4	1
24.402	102	3	1
25.235	103	2	1
26.068	104	3	1
26.068	105	4	1
26.519	106	2	1
26.519	107	1	1
26.970	108	1	1
27.308	109	3	1
27.421	110	2	1
27.421	111	4	1
27.759	112	4	1
27.759	113	1	1
27.872	114	3	1
27.872	115	2	1
28.106	116	4	1
28.106	117	3	1
28.340	118	2	1
28.340	119	1	1
28.809	120	1	1
29.043	121	3	1
29.225	122	4	1
29.225	123	2	1
29.612	124	1	1
29.612	125	4	1
29.742	126	2	1
29.742	127	3	1
31.232	128	3	1
31.232	129	2	1
31.331	130	1	1
31.331	131	4	1
31.770	132	2	1
31.770	133	1	1
33.056	134	4	1
34.734	135	2	1
35.513	136	3	1
35.861	137	1	1
35.861	138	2	1
35.978	139	3	1
35.978	140	4	1
36.443	141	2	1
36.584	142	1	1
36.584	143	4	1
37.762	144	3	1
37.762	145	1	1
37.869	146	4	1
37.869	147	2	1
38.298	148	1	1
38.378	149	3	1
38.378	150	4	1
39.266	151	4	1
39.266	152	1	1
39.600	153	2	1
39.600	154	1	1
39.711	155	4	1
39.711	156	3	1
40.155	157	2	1
40.287	158	4	1
40.287	159	1	1
41.423	160	1	1
41.423	161	3	1
41.537	162	2	1
41.537	163	4	1
41.877	164	1	1
42.029	165	4	1
42.029	166	3	1
42.938	167	2	1
43.790	168	2	1
43.790	169	1	1
44.504	170	2	1
44.742	171	1	1
44.980	172	2	1
45.456	173	3	1
45.694	174	2	1
45.924	175	3	1
46.386	176	4	1
46.617	177	3	1
46.867	178	4	1
47.117	179	1	1
47.117	180	2	1
47.367	181	2	1
47.367	182	3	1
47.617	183	4	1
47.617	184	3	1
48.486	185	2	1
48.486	186	3	1
48.921	187	4	1
48.921	188	1	1
49.247	189	3	1
49.247	190	4	1
49.356	191	2	1
49.356	192	1	1
