Song Name	Fur Elise (Hard) by Ludwig van Beethoven (Performed by Rousseau)
Title	Fur Elise (Hard)
Artist	Ludwig van Beethoven (Performed by Rousseau)
Description	Also known as Batatelle No. 25 for solo piano, one of Ludwig van Beethoven's most popular compositions published fourty years after his death. Performed by piano youtuber Rousseau. Map by Rubikonium.
Difficulty	18
Primary Color	Beat
Secondary Color	Beat
Cover Image ID	7486775820
Audio Asset ID	rbxassetid://9590479067
Audio File	9590479067.mp3
Last Note Time	145.957
Total Notes	1088
Fever Fill	281
Fever Time	21.893550
Long Notes	247
BPM	159
Song Length	146.957000000

Timing Points
0.770	500.000000
1.142	324.324324
2.114	336.134454
4.130	363.636364
4.857	329.670330
6.175	335.195531
7.180	376.175549
8.308	350.877193
9.360	333.333333
10.693	344.827586
12.761	372.670807
13.506	335.195531
14.846	350.877193
16.600	375.000000
18.100	358.208955
20.249	361.445783
21.333	410.958904
21.743	392.156863
22.919	365.853659
24.382	329.670330
25.700	340.909091
27.745	372.670807
28.490	335.195531
29.830	340.909091
30.852	363.636364
31.942	377.358491
33.074	357.142857
34.145	346.820809
35.185	363.636364
36.275	370.370370
37.386	413.793103
37.799	408.163265
38.207	346.820809
39.247	335.195531
40.587	340.909091
41.609	357.142857
43.394	342.857143
44.765	340.909091
45.787	357.142857
46.858	370.370370
47.783	470.588235
48.253	333.333333
48.586	379.746835
49.725	413.793103
50.138	397.350993
53.316	389.610390
55.653	413.793103
56.894	437.158470
58.205	470.588235
61.027	484.848485
62.481	487.804878
62.975	365.853659
63.578	416.666667
63.994	425.531915
66.121	521.739130
68.497	400.000000
69.097	342.857143
71.122	337.999606
72.136	319.334082
73.093	359.333078
74.171	318.665852
75.127	326.667501
77.087	358.667193
78.163	326.667501
79.143	348.999535
80.190	346.666513
81.230	376.498936
82.722	349.750220
84.122	328.500723
85.478	333.667000
86.437	345.000086
87.472	334.666421
88.476	337.999606
89.490	334.666421
91.163	357.000482
91.520	387.667020
92.683	380.334187
93.824	384.667167
94.978	400.667780
96.180	386.321639
97.317	393.667207
98.498	393.334295
99.678	402.665647
