Song Name	Sad Dream by UNDEAD CORPORATION
Difficulty	16
Primary Color	Chill
Secondary Color	Flow
Audio Asset ID	rbxassetid://9126087226
Audio File	9126087226.ogg
Last Note Time	154.610
Total Notes	1278
Fever Fill	364
Fever Time	23.191500
Long Notes	185
BPM	200
Song Length	155.610000000

Timing Points
0.088	300.000000
1.318	300.000000
10.157	300.000000
10.907	300.000000
23.359	300.000000
23.517	300.000000
23.937	300.000000
24.120	300.000000
24.270	300.000000
24.560	300.000000
25.307	300.000000
28.015	300.000000
28.170	300.000000
28.326	300.000000
28.926	300.000000
29.070	300.000000
30.120	300.000000
33.407	300.000000
33.707	300.000000
33.863	300.000000
34.020	300.000000
34.920	300.000000
36.104	300.000000
38.063	300.000000
38.519	300.000000
38.813	300.000000
39.113	300.000000
39.269	300.000000
39.717	300.000000
40.012	300.000000
40.174	300.000000
40.478	300.000000
40.928	300.000000
43.766	300.000000
43.927	300.000000
44.363	300.000000
44.369	300.000000
44.519	300.000000
47.203	300.000000
47.885	300.000000
47.966	300.000000
48.119	300.000000
52.901	300.000000
54.107	300.000000
55.005	300.000000
55.302	300.000000
55.889	300.000000
56.046	300.000000
56.209	300.000000
56.509	300.000000
57.706	300.000000
58.612	300.000000
58.915	300.000000
59.210	300.000000
60.110	300.000000
61.021	300.000000
61.321	300.000000
62.065	300.000000
62.515	300.000000
63.721	300.000000
64.616	300.000000
64.916	300.000000
65.505	300.000000
65.962	300.000000
66.111	300.000000
66.385	300.000000
66.390	300.000000
66.920	300.000000
67.001	300.000000
67.310	300.000000
67.610	300.000000
68.510	300.000000
71.805	300.000000
72.105	300.000000
72.549	300.000000
72.843	300.000000
73.293	300.000000
79.301	300.000000
81.416	300.000000
81.716	300.000000
82.612	300.000000
82.906	300.000000
83.815	300.000000
84.115	300.000000
85.028	300.000000
85.324	300.000000
86.218	300.000000
86.518	300.000000
86.812	300.000000
87.712	300.000000
95.343	300.000000
95.649	300.000000
95.803	300.000000
95.961	300.000000
96.111	300.000000
96.253	300.000000
97.311	300.000000
100.454	300.000000
100.904	300.000000
112.748	300.000000
112.893	300.000000
113.047	300.000000
113.641	300.000000
113.794	300.000000
114.111	300.000000
140.818	300.000000
141.261	300.000000
141.711	300.000000
145.600	300.000000
146.045	300.000000
146.495	300.000000
148.527	300.000000
148.609	300.000000
148.750	300.000000
148.900	300.000000
149.194	300.000000
150.094	300.000000
151.226	300.000000
151.303	300.000000
152.205	300.000000
152.505	300.000000
153.110	300.000000
153.710	300.000000


Song Data
0.388	1	2	2
0.988	2	2	3
0.988	3	3	1
1.318	4	4	2
1.918	5	4	3
1.318	6	1	1
1.768	7	1	1
1.918	8	2	1
2.218	9	1	2
2.818	10	1	3
2.818	11	3	1
3.118	12	4	2
3.418	13	4	3
3.418	14	2	2
3.718	15	2	3
3.718	16	4	1
3.718	17	3	1
4.018	18	1	1
4.318	19	3	2
5.218	20	3	3
4.618	21	2	2
5.218	22	2	3
5.218	23	1	1
5.518	24	4	2
5.968	25	4	3
5.968	26	2	1
6.118	27	3	1
6.118	28	1	2
6.718	29	1	3
6.718	30	4	1
7.018	31	3	1
7.168	32	2	2
7.618	33	2	3
7.618	34	3	1
7.918	35	1	1
