Song Name	Hexagon Force by Waterflame
Title	Hexagon Force
Artist	Waterflame
Description	A 2014 track from Norwegian producer Waterflame. From the artist: I took some inspiration from 80s themes and sega genesis music for this one! Hope you dig it ~. Map by Rushiliate.
Difficulty	14
Primary Color	Flow
Secondary Color	Chill
Cover Image ID	9064990716
Audio Asset ID	rbxassetid://9064611431
Audio File	9064611431.ogg
Last Note Time	100.866
Total Notes	564
Fever Fill	177
Fever Time	15.129900
Long Notes	35
BPM	163
Song Length	101.866000000

Timing Points
0.000	368.098160
0.378	368.098160
1.480	368.098160


Song Data
0.000	1	4	1
0.000	2	3	1
0.184	3	2	1
0.368	4	1	1
0.562	5	4	1
0.930	6	2	1
1.114	7	3	1
1.298	8	4	1
1.480	9	1	1
1.664	10	2	1
1.848	11	3	1
2.032	12	4	1
2.400	13	3	1
2.584	14	2	1
2.768	15	1	1
2.952	16	4	1
3.136	17	2	1
3.320	18	3	1
3.504	19	1	1
3.872	20	3	1
4.056	21	2	1
4.240	22	4	1
4.424	23	1	1
4.608	24	3	1
4.792	25	2	1
4.976	26	4	1
5.345	27	1	1
5.529	28	3	1
5.713	29	2	1
5.897	30	1	1
6.081	31	4	1
6.265	32	3	1
6.449	33	2	1
6.817	34	4	1
7.001	35	3	1
7.185	36	2	1
7.369	37	4	1
7.553	38	1	1
7.737	39	2	1
7.921	40	3	1
8.289	41	1	1
8.473	42	2	1
8.657	43	3	1
8.841	44	1	1
9.026	45	4	1
9.210	46	2	1
9.394	47	3	1
9.762	48	4	1
9.946	49	2	1
10.130	50	3	1
10.314	51	4	1
10.498	52	1	1
10.682	53	3	1
10.866	54	2	1
11.234	55	1	1
11.418	56	3	1
11.602	57	2	1
11.786	58	1	2
12.154	59	1	3
11.786	60	4	1
12.154	61	3	1
12.522	62	2	1
12.706	63	1	1
13.075	64	4	2
13.627	65	4	3
13.259	66	1	1
13.627	67	3	1
13.995	68	1	2
14.363	69	1	3
14.179	70	2	1
14.363	71	3	1
14.731	72	1	1
14.731	73	4	2
15.099	74	4	3
15.099	75	3	1
15.467	76	2	1
15.651	77	3	1
15.835	78	1	1
16.019	79	4	1
16.387	80	2	1
16.572	81	3	1
16.756	82	2	1
17.124	83	3	1
17.308	84	2	1
17.676	85	4	2
18.044	86	4	3
17.676	87	1	1
18.044	88	2	1
18.412	89	3	1
18.596	90	4	1
18.964	91	1	2
19.516	92	1	3
19.148	93	4	1
19.516	94	2	1
19.884	95	4	2
20.253	96	4	3
20.068	97	3	1
20.253	98	2	1
20.621	99	4	1
20.621	100	1	2
