Song Name	Revolutionary Etude (Hard) by Frederic Chopin (Performed by Rousseau)
Difficulty	24
Primary Color	Rush
Secondary Color	Rush
Last Note Time	153.975
Total Notes	1573
Fever Fill	520
Fever Time	23.096250
Long Notes	12
BPM	137
Song Length	156.611746032

Timing Points
1.240	441.1765
1.240	441.1765
1.681	416.6667
4.107	441.1765
4.548	441.1765
4.769	441.1765
4.769	441.1765
7.746	458.0153
8.433	458.0153
8.433	458.0153
9.349	441.1765
10.231	397.3510
10.501	397.3510
10.501	405.4054
12.240	416.6667
12.240	416.6667
13.073	451.1278
13.073	451.1278
13.975	355.0296
13.975	355.0296
14.685	402.6846
15.484	405.4054
15.484	405.4054
17.105	372.6708
17.105	372.6708
20.086	408.1633
20.086	408.1633
21.922	370.3704
21.922	370.3704
23.403	394.7368
23.403	394.7368
24.402	416.6667
24.402	416.6667
26.068	451.1278
26.068	451.1278
27.872	468.7500
27.872	468.7500
29.225	517.2414
29.225	517.2414
29.742	397.3510
29.742	397.3510
31.342	428.5714
31.342	428.5714
33.056	428.5714
33.056	419.5804
34.734	389.6104
34.734	389.6104
35.513	465.1163
35.513	465.1163
36.584	465.1163
36.584	428.5714
38.378	428.5714
38.378	444.4444
40.287	454.5455
40.287	454.5455
42.029	454.5455
42.029	454.5455
43.790	476.1905
43.790	476.1905
45.694	476.1905
45.694	461.5385
46.617	461.5385
46.617	500.0000
47.617	434.7826
47.617	434.7826
49.356	434.7826
49.356	419.5804
51.034	485.8300
51.034	485.8300
52.901	449.4382
52.901	449.4382
54.754	436.3636
54.754	436.3636
56.579	458.0153
56.579	458.0153
58.483	458.0153
58.483	465.1163
60.388	465.1163
60.388	480.0000
62.339	555.5556
62.339	555.5556
66.019	428.5714
66.019	428.5714
66.900	458.0153
66.900	458.0153
67.815	444.4444
67.815	444.4444
71.370	444.4444
71.370	441.1765
73.202	458.0153
73.202	458.0153
78.698	454.5455
78.698	454.5455
80.587	461.5385
80.587	461.5385
84.510	461.5385
84.510	416.6667
85.343	461.5385
85.343	461.5385
86.266	461.5385
86.266	384.6154
87.804	384.6154
87.804	425.5319
89.506	425.5319
89.506	428.5714
91.106	363.6364
91.106	363.6364
92.793	494.8454
92.793	494.8454
95.390	425.5319
95.390	425.5319
97.154	425.5319
97.154	425.5319
98.856	394.7368
98.856	394.7368
100.632	384.6154
100.632	384.6154
102.939	454.5455
102.939	454.5455
103.393	393.4426
103.393	393.4426
105.020	406.7797
105.020	406.7797
106.308	406.7797
106.308	400.0000
107.908	400.0000
107.908	428.5714
108.765	428.5714
108.765	372.6708
109.957	428.5714
109.957	428.5714
111.242	433.2130
111.242	433.2130
112.541	441.1765
112.541	441.1765
113.864	441.1765
113.864	431.6547
115.158	481.5409
115.158	481.5409
117.084	462.9630
117.084	462.9630
118.368	465.1163
118.368	465.1163
119.298	441.1765
119.298	441.1765
120.180	451.1278
120.180	451.1278
121.984	451.1278
121.984	480.0000
122.464	480.0000
122.464	431.6547
123.758	451.1278
123.758	451.1278
127.367	413.7931
127.367	413.7931
128.194	352.9412
128.194	352.9412
130.952	375.0000
130.952	375.0000
131.889	512.8205
131.889	512.8205
132.401	419.5804
132.401	419.5804
134.079	387.0968
134.079	387.0968
135.627	400.0000
135.627	400.0000
137.341	480.0000
137.341	480.0000
139.261	500.0000
139.261	500.0000
141.261	500.0000
141.261	483.8710
142.228	526.3158
142.228	526.3158
143.280	526.3158
143.280	480.9619
145.203	504.2017
145.203	504.2017
146.715	612.2449
146.715	612.2449
147.327	480.0000
147.327	480.0000
147.807	441.1765
147.807	441.1765
149.571	368.0982
149.571	368.0982
151.043	441.1765
151.043	441.1765
152.807	389.6104
152.807	389.6104


Song Data
1.240	1	1	1
1.240	2	3	1
1.240	3	4	1
1.460	4	1	1
1.570	5	4	1
1.681	6	3	1
