Song Name	Sad Dream (Hard) by UNDEAD CORPORATION
Difficulty	25
Primary Color	Chill
Secondary Color	Flow
Last Note Time	154.610
Total Notes	1956
Fever Fill	586
Fever Time	23.191500
Long Notes	199
BPM	200
Song Length	154.878843537

Timing Points
0.088	300.0000
1.318	300.0000
10.157	300.0000
10.907	300.0000
23.359	300.0000
23.517	300.0000
23.937	300.0000
24.120	300.0000
24.270	300.0000
24.560	300.0000
25.307	300.0000
28.015	300.0000
28.170	300.0000
28.326	300.0000
28.926	300.0000
29.070	300.0000
30.120	300.0000
33.407	300.0000
33.707	300.0000
33.863	300.0000
34.020	300.0000
34.920	300.0000
36.104	300.0000
38.063	300.0000
38.519	300.0000
38.813	300.0000
39.113	300.0000
39.269	300.0000
39.717	300.0000
40.012	300.0000
40.174	300.0000
40.478	300.0000
40.928	300.0000
43.766	300.0000
43.927	300.0000
44.363	300.0000
44.369	300.0000
44.519	300.0000
47.203	300.0000
47.885	300.0000
47.966	300.0000
48.119	300.0000
52.901	300.0000
54.107	300.0000
55.005	300.0000
55.302	300.0000
55.889	300.0000
56.046	300.0000
56.209	300.0000
56.509	300.0000
57.706	300.0000
58.612	300.0000
58.915	300.0000
59.210	300.0000
60.110	300.0000
61.021	300.0000
61.321	300.0000
62.065	300.0000
62.515	300.0000
63.721	300.0000
64.616	300.0000
64.916	300.0000
65.505	300.0000
65.962	300.0000
66.111	300.0000
66.385	300.0000
66.390	300.0000
66.920	300.0000
67.001	300.0000
67.310	300.0000
67.610	300.0000
68.510	300.0000
71.805	300.0000
72.105	300.0000
72.549	300.0000
72.843	300.0000
73.293	300.0000
79.301	300.0000
81.416	300.0000
81.716	300.0000
82.612	300.0000
82.906	300.0000
83.815	300.0000
84.115	300.0000
85.028	300.0000
85.324	300.0000
86.218	300.0000
86.518	300.0000
86.812	300.0000
87.712	300.0000
95.343	300.0000
95.649	300.0000
95.803	300.0000
95.961	300.0000
96.111	300.0000
96.253	300.0000
97.311	300.0000
100.454	300.0000
100.904	300.0000
112.748	300.0000
112.893	300.0000
113.047	300.0000
113.641	300.0000
113.794	300.0000
114.111	300.0000
140.818	300.0000
141.261	300.0000
141.711	300.0000
145.600	300.0000
146.045	300.0000
146.495	300.0000
148.527	300.0000
148.609	300.0000
148.750	300.0000
148.900	300.0000
149.194	300.0000
150.094	300.0000
151.226	300.0000
151.303	300.0000
152.205	300.0000
152.505	300.0000
153.110	300.0000
153.710	300.0000


Song Data
0.388	1	1	2
0.988	2	3	2
0.988	3	1	3
1.175	4	3	3
1.318	5	3	1
1.318	6	4	2
1.468	7	1	1
1.618	8	2	1
1.768	9	3	1
1.918	10	1	2
1.918	11	2	1
1.918	12	4	3
2.068	13	4	1
2.068	14	1	3
2.218	15	1	2
2.368	16	3	1
2.518	17	4	1
2.668	18	2	1
2.818	19	3	2
2.818	20	1	3
2.968	21	2	1
2.968	22	3	3
3.118	23	3	1
3.118	24	4	2
3.268	25	1	1
3.268	26	4	3
3.418	27	2	2
3.568	28	3	1
3.718	29	1	1
3.718	30	4	1
3.718	31	2	3
3.868	32	2	1
4.018	33	4	2
4.168	34	1	1
4.168	35	4	3
4.318	36	3	2
4.318	37	4	1
4.468	38	2	1
4.618	39	1	2
4.618	40	3	3
4.768	41	2	1
4.918	42	3	1
5.068	43	4	1
5.068	44	1	3
5.218	45	1	2
5.368	46	3	1
5.368	47	1	3
5.518	48	1	1
5.518	49	2	2
5.668	50	4	1
5.818	51	3	1
5.968	52	1	1
5.968	53	2	3
6.118	54	3	2
6.118	55	4	1
6.268	56	2	1
6.418	57	1	1
6.568	58	2	1
6.568	59	3	3
6.718	60	1	1
6.718	61	4	2
6.868	62	3	1
7.018	63	2	2
7.018	64	4	3
7.168	65	1	2
7.168	66	2	3
7.318	67	4	1
7.468	68	2	1
7.618	69	3	2
7.618	70	1	3
7.768	71	2	1
7.918	72	1	1
7.918	73	4	2
7.918	74	3	3
8.068	75	3	1
8.218	76	1	2
8.218	77	4	3
8.368	78	2	1
8.518	79	3	2
8.518	80	4	1
8.518	81	1	3
8.668	82	1	1
8.818	83	4	1
8.818	84	3	3
8.968	85	1	1
8.968	86	2	2
9.118	87	3	1
9.118	88	4	1
9.268	89	1	1
9.268	90	2	3
9.418	91	3	1
9.418	92	4	2
9.568	93	1	1
9.718	94	2	1
9.718	95	4	3
9.868	96	1	2
9.868	97	3	1
10.018	98	4	1
10.157	99	3	1
10.157	100	1	3
10.232	101	2	1
10.307	102	1	1
10.307	103	4	1
10.457	104	3	1
10.457	105	4	1
10.607	106	1	1
10.607	107	2	1
10.757	108	2	1
10.757	109	3	1
10.907	110	1	1
10.907	111	3	1
10.907	112	4	1
11.207	113	2	1
11.207	114	4	1
11.357	115	3	1
11.507	116	1	1
11.507	117	2	2
11.657	118	3	2
11.657	119	4	2
11.807	120	2	3
11.807	121	3	3
11.807	122	4	3
11.957	123	1	1
11.957	124	3	1
11.957	125	4	1
12.257	126	1	1
12.257	127	2	1
12.407	128	2	1
12.557	129	3	1
12.557	130	4	1
12.707	131	1	1
12.707	132	4	1
12.857	133	1	1
13.007	134	3	1
13.007	135	4	1
13.157	136	3	1
13.307	137	1	1
13.307	138	2	1
13.307	139	4	1
13.607	140	3	1
13.607	141	4	1
13.757	142	2	1
13.907	143	1	1
13.907	144	3	2
14.057	145	2	2
14.057	146	4	2
14.207	147	2	3
14.207	148	3	3
14.207	149	4	3
14.357	150	1	1
14.357	151	2	1
14.357	152	4	1
14.657	153	1	1
14.657	154	3	1
14.807	155	3	1
14.957	156	2	1
15.032	157	3	1
15.107	158	1	1
15.107	159	4	1
15.257	160	4	1
15.407	161	1	1
15.407	162	2	1
15.407	163	3	1
15.557	164	2	1
15.707	165	1	1
15.707	166	3	1
15.707	167	4	1
16.007	168	1	1
16.007	169	3	1
16.157	170	2	1
16.307	171	3	2
16.307	172	4	1
16.457	173	1	2
16.457	174	2	2
16.607	175	1	3
16.607	176	2	3
16.607	177	3	3
16.757	178	1	1
16.757	179	2	1
16.757	180	4	1
17.057	181	3	1
17.057	182	4	1
17.207	183	2	1
17.357	184	2	1
17.507	185	1	1
17.507	186	4	1
17.657	187	4	1
17.807	188	1	1
17.807	189	2	1
17.957	190	2	1
18.107	191	1	1
18.107	192	3	1
18.107	193	4	1
18.407	194	1	1
18.407	195	2	1
18.557	196	4	1
18.707	197	2	1
18.707	198	3	2
18.857	199	1	2
18.857	200	4	2
19.007	201	1	3
19.007	202	3	3
19.007	203	4	3
19.157	204	1	1
19.157	205	2	1
19.157	206	4	1
19.457	207	3	1
19.607	208	1	1
19.607	209	3	1
19.607	210	4	1
19.757	211	2	1
19.907	212	1	1
19.907	213	2	1
19.907	214	4	1
20.057	215	4	1
20.207	216	1	1
20.357	217	1	1
20.507	218	2	1
20.507	219	3	1
20.507	220	4	1
20.807	221	1	1
20.807	222	4	1
20.957	223	2	1
21.107	224	3	2
21.107	225	4	1
21.257	226	1	2
21.257	227	2	2
21.407	228	1	3
21.407	229	2	3
21.407	230	3	3
21.557	231	1	1
21.557	232	2	1
21.557	233	4	1
21.857	234	3	1
21.857	235	4	1
22.007	236	3	1
22.157	237	1	1
22.157	238	2	1
22.307	239	1	1
22.307	240	4	1
22.457	241	4	1
22.607	242	1	1
22.607	243	2	1
22.757	244	2	1
22.907	245	1	1
22.907	246	3	1
22.907	247	4	1
23.207	248	1	1
23.207	249	2	1
23.359	250	3	1
23.517	251	2	2
23.517	252	4	1
23.667	253	1	2
23.667	254	3	2
23.817	255	1	3
23.817	256	2	3
23.817	257	3	3
23.937	258	1	1
23.937	259	3	1
23.937	260	4	1
24.270	261	1	1
24.270	262	2	1
24.420	263	2	1
24.560	264	3	1
