Song Name	Fur Elise (Hard) by Ludwig van Beethoven (Performed by Rousseau)
Difficulty	18
Primary Color	Beat
Secondary Color	Beat
Audio Asset ID	rbxassetid://9590479067
Audio File	9590479067.ogg
Last Note Time	145.957
Total Notes	1088
Fever Fill	281
Fever Time	21.893550
Long Notes	247
BPM	159
Song Length	146.957000000

Timing Points
0.770	500.000000
1.142	324.324324
2.114	336.134454
4.130	363.636364
4.857	329.670330
6.175	335.195531
7.180	376.175549
8.308	350.877193
9.360	333.333333
10.693	344.827586
12.761	372.670807
13.506	335.195531
14.846	350.877193
16.600	375.000000
18.100	358.208955
20.249	361.445783
21.333	410.958904
21.743	392.156863
22.919	365.853659
24.382	329.670330
25.700	340.909091
27.745	372.670807
28.490	335.195531
29.830	340.909091
30.852	363.636364
31.942	377.358491
33.074	357.142857
34.145	346.820809
35.185	363.636364
36.275	370.370370
37.386	413.793103
37.799	408.163265
38.207	346.820809
39.247	335.195531
40.587	340.909091
41.609	357.142857
43.394	342.857143
44.765	340.909091
45.787	357.142857
46.858	370.370370
47.783	470.588235
48.253	333.333333
48.586	379.746835
49.725	413.793103
50.138	397.350993
53.316	389.610390
55.653	413.793103
56.894	437.158470
58.205	470.588235
61.027	484.848485
62.481	487.804878
62.975	365.853659
63.578	416.666667
63.994	425.531915
66.121	521.739130
68.497	400.000000
69.097	342.857143
71.122	337.999606
72.136	319.334082
73.093	359.333078
74.171	318.665852
75.127	326.667501
77.087	358.667193
78.163	326.667501
79.143	348.999535
80.190	346.666513
81.230	376.498936
82.722	349.750220
84.122	328.500723
85.478	333.667000
86.437	345.000086
87.472	334.666421
88.476	337.999606
89.490	334.666421
91.163	357.000482
91.520	387.667020
92.683	380.334187
93.824	384.667167
94.978	400.667780
96.180	386.321639
97.317	393.667207
98.498	393.334295
99.678	402.665647
100.886	406.666621
102.106	400.000000
103.306	386.001029
104.464	405.000405
105.274	513.000282
105.787	411.001130
107.020	404.334465
108.233	388.334434
109.398	420.500816
110.239	466.998755
110.706	447.333890
112.048	439.666733
113.367	390.332759
114.538	360.999970
115.621	389.666056
116.790	431.999654
118.086	427.667218
119.369	529.997880
120.959	378.501136
121.716	338.667344
122.732	322.667384
123.700	353.334001
124.760	322.000698
125.726	330.665961
126.718	339.666221
127.737	344.667138
129.805	339.999207
130.825	343.999220
131.857	370.000370
133.337	340.750332
134.700	334.500368
136.038	339.999207
137.058	330.999785
138.051	338.667344
139.067	330.999785
140.060	364.334119
141.153	419.334097
141.782	583.998443
142.074	711.997152
142.430	1053.999930
142.957	1200.000000


Song Data
0.770	1	4	1
0.970	2	3	1
1.142	3	4	1
1.304	4	3	1
1.466	5	4	1
1.628	6	1	1
1.790	7	3	1
1.952	8	2	1
2.114	9	1	2
2.282	10	2	2
2.450	11	3	2
2.450	12	1	3
2.618	13	1	1
2.618	14	2	3
2.786	15	2	1
2.786	16	3	3
2.954	17	3	1
3.122	18	2	2
3.290	19	3	2
3.458	20	4	2
3.458	21	2	3
3.626	22	2	1
3.626	23	3	3
3.794	24	3	1
3.794	25	4	3
3.962	26	4	1
4.130	27	1	2
4.311	28	2	2
4.493	29	3	2
4.493	30	1	3
4.675	31	1	1
4.675	32	2	3
4.857	33	4	1
4.857	34	3	3
5.021	35	3	1
5.186	36	4	1
5.351	37	3	1
5.516	38	4	1
5.681	39	1	1
5.846	40	3	1
6.010	41	2	1
6.175	42	1	2
6.342	43	2	2
6.510	44	3	2
6.510	45	1	3
6.677	46	1	1
6.677	47	2	3
6.845	48	2	1
6.845	49	3	3
7.012	50	3	1
7.180	51	2	2
7.368	52	3	2
7.556	53	4	2
7.556	54	2	3
7.744	55	1	1
7.744	56	3	3
7.932	57	3	1
7.932	58	4	3
8.120	59	2	1
8.308	60	1	2
8.571	61	2	2
8.834	62	3	2
9.360	63	4	1
9.360	64	1	3
9.360	65	2	3
9.360	66	3	3
9.526	67	3	1
9.693	68	4	1
9.860	69	3	1
10.026	70	4	1
10.193	71	1	1
10.359	72	3	1
10.526	73	2	1
10.693	74	1	2
10.865	75	2	2
11.037	76	3	2
11.037	77	1	3
11.210	78	1	1
11.210	79	2	3
11.382	80	2	1
11.382	81	3	3
11.555	82	3	1
11.727	83	2	2
11.899	84	3	2
12.072	85	4	2
12.072	86	2	3
12.244	87	2	1
12.244	88	3	3
12.417	89	3	1
12.417	90	4	3
12.589	91	4	1
12.761	92	1	2
12.947	93	2	2
13.133	94	3	2
13.133	95	1	3
13.320	96	1	1
13.320	97	2	3
13.506	98	4	1
13.506	99	3	3
13.673	100	3	1
13.841	101	4	1
14.008	102	3	1
14.176	103	4	1
14.343	104	1	1
14.511	105	3	1
14.679	106	2	1
14.846	107	1	2
15.021	108	2	2
15.196	109	3	2
15.196	110	1	3
15.372	111	1	1
15.372	112	2	3
15.547	113	2	1
15.547	114	3	3
15.723	115	3	1
15.898	116	2	2
16.074	117	3	2
16.249	118	4	2
16.249	119	2	3
16.424	120	1	1
16.424	121	3	3
16.600	122	3	1
16.600	123	4	3
16.787	124	2	1
16.975	125	1	2
17.162	126	2	2
17.350	127	3	2
17.350	128	1	3
17.537	129	4	1
17.537	130	2	3
17.725	131	2	1
17.725	132	3	3
17.912	133	3	1
18.100	134	4	2
18.279	135	2	2
18.458	136	3	2
18.458	137	4	3
18.637	138	1	1
18.637	139	2	3
18.816	140	4	1
18.816	141	3	3
18.995	142	2	1
19.174	143	3	2
19.353	144	1	2
19.532	145	2	2
19.532	146	3	3
19.711	147	3	1
19.711	148	1	3
19.891	149	4	1
19.891	150	2	3
20.070	151	3	1
20.249	152	2	2
20.429	153	1	2
20.610	154	3	2
20.610	155	2	3
20.791	156	2	1
20.791	157	1	3
20.971	158	4	1
20.971	159	3	3
21.152	160	3	1
21.333	161	3	2
21.538	162	2	2
21.743	163	4	2
21.743	164	3	3
21.939	165	1	1
21.939	166	2	3
22.135	167	3	1
22.135	168	4	3
22.331	169	1	1
22.527	170	3	1
22.723	171	3	1
22.919	172	1	1
22.919	173	4	1
23.101	174	3	1
23.284	175	4	1
23.467	176	3	1
23.650	177	4	1
23.833	178	3	1
24.016	179	4	1
24.199	180	3	1
24.382	181	4	1
