Song Name	Chroma 'Heavenly' Mashup [EXTENDED CUT] (Hard) by Chroma (Arranged by CosmosGalaxies & iiJohn0)
Difficulty	34
Primary Color	Rush
Secondary Color	Rush
Last Note Time	333.712
Total Notes	4921
Fever Fill	1217
Fever Time	50.056800
Long Notes	1267
BPM	178
Song Length	336.732494331

Timing Points
9.055	333.3333
9.055	333.3333
54.564	400.0000
54.564	400.0000
55.005	400.0000
55.005	333.3333
55.251	333.3333
55.251	333.3333
62.072	333.3333
62.072	333.3333
71.405	333.3333
71.405	384.6154
72.655	333.3333
72.655	333.3333
72.805	384.6154
72.805	384.6154
76.330	384.6154
76.330	461.5385
77.253	400.0000
77.253	400.0000
79.655	400.0000
79.655	400.0000
118.255	400.0000
118.255	400.0000
131.029	278.4223
131.029	278.4223
135.483	279.1996
135.483	279.1996
182.389	295.9412
182.389	295.9412
192.134	295.9412
192.134	315.7895
194.060	308.8962
194.060	308.8962
215.082	308.8962
215.082	328.6681
234.473	328.6681
234.473	324.6665
235.122	328.6681
235.122	328.6681
235.780	315.7895
235.780	315.7895
236.250	272.7273
236.250	272.7273
237.134	256.4103
237.134	256.4103
237.781	256.4103
237.781	308.1664
238.397	308.1664
238.397	308.1664
275.077	308.1664
275.077	294.4063
277.128	338.9831
277.142	338.9831
282.113	338.9831
282.113	270.2703
282.180	284.3602
282.180	284.3602
282.251	300.0000
282.251	300.0000
282.326	300.0000
282.326	317.4603
282.405	352.9412
282.405	352.9412
282.493	352.9412
282.493	461.5385
282.608	500.0000
282.608	500.0000
282.733	500.0000
282.733	750.0000
282.920	750.0000
282.920	1200.0000
283.220	1200.0000
283.220	1578.9474
285.443	328.6681
285.443	328.6681
287.442	586.7971
287.442	586.7971
288.028	487.8049
288.028	487.8049
289.979	650.4065
289.979	650.4065
290.629	355.0296
290.629	355.0296
292.508	355.0296
292.508	464.2166
292.976	464.2166
292.976	571.4286
293.356	571.4286
293.356	609.1371
293.813	466.9261
293.813	466.9261
293.923	466.9261
293.923	466.9261
294.103	466.9261
294.103	466.9261
294.478	519.4805
294.478	519.4805
294.998	428.5714
294.998	428.5714
295.245	428.5714
295.245	472.4409
295.717	472.4409
295.717	333.3333
296.064	504.2017
296.064	504.2017
296.568	545.4545
296.568	545.4545
296.828	591.1330
296.828	591.1330
297.420	300.0000
297.420	300.0000
297.679	446.0967
297.679	446.0967
297.901	333.3333
297.901	333.3333
298.037	410.9589
298.037	410.9589
298.241	571.4286
298.241	571.4286
298.383	240.0000
298.383	240.0000
298.711	260.8696
298.713	260.8696
307.315	441.1765
307.315	441.1765
307.904	441.1765
307.904	441.1765


Song Data
6.388	1	1	2
6.721	2	4	2
6.721	3	1	3
7.055	4	1	1
7.055	5	4	3
7.221	6	2	1
7.388	7	3	1
7.555	8	4	1
7.721	9	1	1
7.888	10	2	1
8.055	11	3	1
8.221	12	4	1
8.388	13	1	1
8.555	14	2	1
8.721	15	3	1
8.888	16	4	1
9.055	17	1	1
9.221	18	2	1
9.388	19	3	1
9.555	20	4	1
9.721	21	1	1
9.888	22	2	1
10.054	23	3	1
10.221	24	4	1
10.388	25	1	1
10.554	26	2	1
10.721	27	3	1
10.888	28	4	1
11.054	29	1	2
11.054	30	2	1
11.638	31	1	3
11.721	32	2	2
11.721	33	3	1
11.721	34	4	1
12.054	35	3	2
12.054	36	2	3
12.221	37	1	1
12.388	38	2	1
12.388	39	4	2
12.388	40	3	3
12.721	41	3	2
12.721	42	4	3
12.888	43	2	1
13.054	44	1	2
13.054	45	4	1
13.054	46	3	3
13.221	47	2	1
13.388	48	3	1
13.388	49	4	1
13.554	50	2	1
13.721	51	3	1
13.721	52	4	1
13.721	53	1	3
13.888	54	2	2
14.054	55	3	2
14.054	56	2	3
14.221	57	4	2
14.221	58	3	3
14.388	59	1	2
14.388	60	2	1
14.388	61	4	3
14.471	62	4	2
14.471	63	1	3
14.554	64	2	2
14.554	65	4	3
14.721	66	1	2
14.721	67	2	3
14.888	68	4	1
15.054	69	2	1
15.054	70	3	1
15.388	71	3	1
15.554	72	2	1
15.721	73	3	1
15.721	74	4	1
15.888	75	2	1
16.054	76	3	1
16.054	77	4	1
16.388	78	2	1
16.388	79	4	1
16.554	80	4	1
16.721	81	2	1
16.888	82	3	1
17.054	83	2	2
17.054	84	3	1
17.054	85	4	1
17.054	86	1	3
17.388	87	3	2
17.388	88	2	3
17.554	89	1	1
17.721	90	2	1
17.721	91	4	2
17.721	92	3	3
18.054	93	3	2
18.054	94	4	3
18.221	95	2	1
18.388	96	1	2
18.388	97	4	1
18.388	98	3	3
18.554	99	2	1
18.721	100	3	1
18.721	101	4	1
18.888	102	2	1
19.054	103	3	1
19.054	104	4	1
19.054	105	1	3
19.221	106	2	2
19.388	107	3	2
19.388	108	2	3
19.554	109	4	2
19.554	110	3	3
19.721	111	1	1
19.721	112	3	2
19.721	113	4	3
19.888	114	2	2
19.888	115	3	3
20.054	116	1	2
20.054	117	2	3
